,Year,Title,0,1,2,3,4,5,6,7
0,68,10210,18,1,7,4,7,1,4,7
1,68,5487,13,4,13,13,13,13,4,18
2,68,10149,16,1,16,1,16,16,16,1
3,68,8086,1,15,15,16,1,1,1,1
4,68,2279,1,1,1,1,1,1,1,1
5,68,3491,6,8,8,8,8,10,10,6
6,68,1235,1,16,1,16,1,16,16,1
7,68,6090,13,13,18,13,18,18,13,18
8,68,5153,6,6,6,6,6,6,6,6
9,68,669,18,8,6,18,8,8,8,18
10,68,1629,16,1,15,16,16,1,15,1
11,68,2005,19,1,1,19,1,1,1,19
12,68,8595,7,13,13,7,13,13,7,7
13,68,2521,15,15,15,15,15,15,15,15
14,68,3092,6,16,16,6,18,6,6,18
15,68,9020,10,10,10,10,10,15,15,15
16,68,2526,16,1,16,1,16,16,1,1
17,68,1300,15,1,1,15,15,15,1,1
18,68,6581,1,1,1,1,1,1,1,1
19,68,7961,8,6,10,1,8,10,6,8
20,68,8358,15,15,15,15,6,1,1,6
21,68,10089,8,10,15,15,8,14,19,19
22,68,1178,8,6,10,6,8,6,6,10
23,68,3448,15,2,2,2,2,15,15,2
24,68,10063,16,16,16,16,15,16,16,15
25,68,5401,15,15,15,15,15,15,15,15
26,68,9653,15,15,15,15,15,15,15,15
27,68,9304,16,15,16,15,16,15,15,15
28,68,663,14,18,2,4,14,18,18,2
29,68,8148,10,15,10,10,10,15,15,15
30,68,6127,15,15,15,15,15,15,15,15
31,68,7807,8,8,8,2,8,2,8,8
32,68,996,16,18,16,18,16,0,16,18
33,68,5667,4,1,1,1,1,15,1,15
34,68,7158,16,16,16,15,15,15,16,16
35,68,1162,15,15,10,10,10,10,15,15
36,68,5036,5,5,0,0,0,0,0,0
37,68,6407,1,1,1,1,1,1,1,1
38,68,5266,16,1,1,1,1,1,1,1
39,68,6797,15,15,15,15,15,15,15,15
40,68,2338,11,11,15,11,11,11,15,11
41,68,2625,6,10,6,6,15,6,10,15
42,68,7928,15,15,15,15,15,15,15,15
43,68,526,6,18,6,6,18,18,18,18
44,68,5745,1,15,8,1,1,15,15,15
45,68,3532,16,15,16,15,16,16,16,15
46,68,10468,14,8,14,19,14,14,14,8
47,68,2529,17,13,7,17,16,7,7,7
48,68,1037,16,16,16,16,16,16,16,16
49,68,3786,10,10,8,10,10,14,10,14
50,88,9476,15,6,8,6,6,8,15,8
51,68,6555,16,15,16,15,15,15,16,15
52,88,677,18,18,18,15,18,18,18,15
53,68,3309,13,13,1,1,13,1,1,1
54,68,8267,15,15,15,15,15,15,15,15
55,68,7943,18,4,13,13,13,18,4,4
56,68,2316,15,15,15,15,15,15,15,15
57,88,4483,1,15,16,15,1,15,16,15
58,68,9807,14,14,14,14,14,14,15,15
