,Year,Title,0,1,2,3,4,5
0,48,2004,1,1,14,8,8,8
1,48,2234,10,10,10,10,1,10
2,48,2178,14,14,14,16,14,14
3,48,3422,3,3,14,3,3,3
4,48,3456,14,14,14,14,14,14
5,48,1424,7,0,0,0,17,17
6,48,292,14,16,14,14,14,16
7,48,490,1,1,9,1,9,9
8,48,1295,17,17,17,17,17,17
9,48,225,0,9,0,0,17,17
10,48,1378,3,14,3,16,3,14
11,48,256,2,2,14,14,14,14
12,48,3072,8,8,8,1,8,1
13,48,519,3,3,3,3,3,3
14,48,2288,17,16,17,17,16,16
15,48,936,3,0,0,3,0,0
16,48,1029,16,3,3,3,3,16
17,48,645,0,0,0,0,0,0
18,48,1447,14,14,14,14,14,14
19,48,1768,17,17,17,17,17,17
20,48,3770,3,14,14,3,17,14
21,48,365,7,0,7,0,3,3
22,48,119,0,0,0,0,0,0
23,48,2138,4,3,3,3,4,3
24,48,3104,3,16,16,3,16,16
25,48,212,3,3,3,3,3,3
26,48,161,3,3,3,3,3,3
27,48,2679,16,16,16,16,16,16
28,48,2454,4,9,4,9,4,9
29,48,2278,3,3,3,3,3,3
30,48,2509,3,3,3,3,3,3
31,48,739,4,4,3,3,3,4
32,48,2038,16,16,16,16,16,9
33,48,1157,3,1,3,3,1,1
34,48,3218,16,16,3,3,16,3
35,48,546,3,3,3,3,3,3
36,48,2489,15,15,15,15,15,15
37,48,1111,14,14,14,14,14,14
38,48,2448,16,14,14,16,16,16
39,48,1877,3,3,3,3,3,3
40,48,560,12,12,12,3,12,3
41,48,1413,3,7,3,17,3,17
42,48,1760,3,3,3,3,3,3
43,48,2068,9,17,9,9,9,17
44,48,3496,3,14,3,14,14,14
45,48,2833,16,3,3,16,3,3
46,48,3373,7,0,0,7,0,0
47,48,823,8,16,8,1,16,8
48,48,2769,3,16,16,16,16,16
49,48,1826,7,0,7,0,0,7
50,55,3356,3,17,17,17,0,0
51,48,1950,14,14,14,14,14,14
52,55,3564,3,3,3,3,3,3
53,48,3396,1,14,14,1,14,1
54,48,2504,3,3,3,3,3,3
55,48,796,1,1,1,10,9,9
56,48,1659,3,3,3,3,3,3
57,55,3805,16,16,3,3,16,16
58,48,1943,3,3,3,6,6,6
59,48,2940,9,1,1,1,10,10
60,65,2824,0,3,3,3,3,0
61,48,1411,3,3,3,3,3,3
62,65,1245,14,14,14,14,14,14
63,65,3021,14,16,14,14,14,16
64,65,661,14,14,14,14,14,14
65,65,296,0,0,4,4,4,0
66,48,2566,3,3,3,3,3,3
67,48,994,14,14,14,16,16,16
68,48,3619,14,14,14,14,14,14
69,65,1983,0,2,2,0,0,7
70,48,1257,17,17,17,17,17,17
71,48,1916,3,3,3,3,14,3
72,48,1780,3,11,11,3,3,11
73,65,1725,3,3,3,16,16,16
74,65,2786,14,14,14,3,3,14
75,48,2194,0,4,0,4,0,0
76,48,172,15,15,15,15,15,15
77,48,1693,3,3,3,3,3,3
78,65,3296,3,0,3,3,3,3
79,48,3522,3,3,3,3,3,3
80,48,2447,16,16,16,7,3,7
81,48,326,3,3,3,3,3,3
82,48,1033,3,3,3,3,3,3
83,48,757,14,14,3,14,14,14
84,48,1425,16,3,3,3,3,16
85,65,1970,3,3,3,9,3,9
86,65,549,14,1,1,1,1,1
87,65,2011,14,14,14,14,14,14
88,48,3825,17,0,17,0,17,17
