,Year,Title,0,1,2,3,4,5,6,7,8,9
0,26,4629,12,11,12,12,1,17,18,12,1,11
1,26,5016,11,18,17,11,11,18,11,11,18,18
2,26,7530,12,12,12,0,0,12,0,0,0,0
3,26,345,12,0,0,15,12,12,15,12,0,12
4,26,7425,12,12,12,12,12,12,12,12,12,12
5,26,7820,13,13,9,13,13,13,9,9,9,7
6,26,7602,12,0,12,0,0,12,12,0,12,0
7,26,3387,18,18,18,18,18,11,11,11,18,18
8,26,3914,7,7,7,7,7,7,7,7,7,7
9,26,1622,11,7,11,13,7,13,11,13,11,13
10,26,3474,0,0,0,0,12,12,15,12,12,12
11,26,3455,12,8,12,12,12,8,12,8,12,12
12,26,5632,11,18,18,11,11,11,18,11,1,18
13,26,8233,15,15,15,15,15,15,15,15,15,15
14,26,5451,7,7,7,7,7,11,7,0,0,7
15,26,4559,15,9,15,15,15,9,9,15,15,15
16,26,6095,0,15,15,0,0,15,15,15,0,15
17,26,1313,12,12,12,12,12,12,12,12,12,12
18,26,3681,12,12,12,12,12,12,12,12,12,12
19,26,7063,12,12,9,9,12,7,15,12,15,13
20,26,4776,13,9,9,13,9,12,9,12,9,13
21,26,1457,9,8,13,9,9,9,15,8,8,15
22,26,2916,13,9,7,9,7,9,9,13,13,13
23,26,6901,15,19,19,19,19,19,19,19,15,19
24,26,4375,15,0,15,0,0,0,0,15,0,15
25,26,7656,15,15,15,15,15,15,15,15,15,15
26,26,5682,15,15,18,15,15,15,15,18,18,15
27,26,4349,0,0,0,15,0,15,15,15,0,0
28,26,8592,4,4,11,15,4,4,17,4,19,4
29,26,7576,9,15,9,9,15,9,15,9,15,9
30,26,9039,15,15,15,15,15,15,15,15,15,15
31,26,2222,4,4,4,4,13,13,13,13,4,19
32,26,1040,18,18,15,15,18,15,18,15,15,15
33,26,9346,9,9,9,9,15,9,9,15,15,9
34,26,2798,18,12,12,12,18,12,12,18,18,12
35,26,4131,0,0,0,0,12,0,0,12,12,0
36,26,4892,15,15,15,15,15,15,15,15,15,15
37,26,8135,15,16,15,15,16,16,15,16,15,16
38,26,1419,7,9,9,7,9,7,7,7,15,7
39,26,7899,15,15,15,15,15,15,15,15,15,15
40,26,5991,17,11,11,17,17,17,17,11,7,17
41,26,1608,15,12,15,15,13,13,12,15,15,15
42,26,8612,0,15,15,15,15,0,0,15,15,15
43,26,5481,4,4,13,4,13,13,13,13,4,4
44,26,486,2,1,18,2,18,18,18,1,2,2
45,26,3037,15,0,0,15,15,0,15,0,0,0
46,26,7395,4,9,4,4,9,13,13,4,13,9
47,26,5568,0,0,15,15,15,15,0,0,12,15
48,144,3839,11,11,15,15,15,11,11,11,11,11
49,26,2624,12,18,18,12,18,12,18,18,18,18
50,26,6645,15,15,15,15,15,15,15,15,15,15
51,26,3036,15,15,15,15,15,15,15,15,15,15
52,144,3138,0,15,15,0,0,0,15,0,15,0
53,26,6057,17,17,18,18,18,18,18,17,11,11
54,84,9082,13,15,15,13,15,15,13,13,13,13
55,26,6592,15,15,15,15,15,15,15,15,15,15
56,84,1669,9,12,9,12,9,9,12,12,12,9
57,84,6888,0,0,12,12,0,12,0,0,12,12
58,84,516,12,12,12,12,12,12,12,12,12,12
59,84,523,13,7,13,7,7,7,19,19,13,7
60,26,8950,0,12,12,0,0,12,12,0,0,0
61,26,7240,12,12,12,12,12,12,12,12,12,12
62,84,2477,13,8,13,8,12,7,12,8,8,8
63,26,1427,7,7,7,7,7,7,7,7,7,7
64,26,6190,15,12,12,12,15,15,12,12,15,15
65,26,4801,16,15,15,15,15,15,15,16,16,15
66,84,872,0,0,0,15,15,0,0,15,0,15
67,84,6693,12,15,15,15,15,15,12,12,12,12
68,26,8336,7,19,7,7,13,19,13,13,19,19
